letters,lat_av,lon_av
AB,57.26490043849858,-2.440020693386657
AL,51.77756478809065,-0.27116922924502396
B,52.45790079065939,-1.8835101926288547
BA,51.16444942141348,-2.458987964401718
BB,53.80217763045246,-2.311267672546022
BD,53.82292656401357,-1.820083700437771
BH,50.7453565969565,-1.8994376735475722
BL,53.586956709841054,-2.410070605759707
BN,50.83383248569755,-0.12365146793702031
BR,51.393656929707106,0.054564128715967344
BS,51.42617532716559,-2.661828643751534
BT,53.898077566813335,-6.301078621342429
CA,54.65352043494592,-3.156566481913874
CB,52.19671979657246,0.20369355307666204
CF,51.55479427796141,-3.3477794232002984
CH,53.313232123376785,-3.032612456405457
CM,51.75145770269049,0.3554707583962837
CO,51.89691793216806,0.9620573901434502
CR,51.35460785106333,-0.10605171135373552
CT,51.24232394087039,1.2332646277229977
CV,52.37141994347397,-1.4936595536096247
CW,53.14638500437284,-2.452633791432725
DA,51.44083296240355,0.21467627072205708
DD,56.549217927225875,-2.823046037609565
DE,52.927187419237285,-1.5018531957912757
DG,55.060292124786756,-3.701533638019612
DH,54.827036822758835,-1.5880896100725563
DL,54.534870786069256,-1.6636024924671007
DN,53.55030313739396,-0.6548677139311828
DT,50.75369175654034,-2.525950105602031
DY,52.449326170864346,-2.194883866975531
E,51.54445958864162,-0.01288602585620081
EC,51.518116465584534,-0.09685211059613288
EH,55.90029810386849,-3.1774870866353484
EN,51.68944423516678,-0.07770490292125894
EX,50.84489252758301,-3.6981258170802445
FK,56.15984923546629,-3.9764410876912204
FY,53.835429451001175,-3.021219973002821
G,55.87220212157287,-4.2658248915516745
GL,51.82147839056187,-2.215418497378883
GU,51.22309478413581,-0.7142778114193505
HA,51.58592165809878,-0.34151403205452474
HD,53.63876816119458,-1.7861937309712776
HG,54.037417360562216,-1.5415458567827085
HP,51.71683916442374,-0.6999118313768159
HR,52.09139733449044,-2.74253148503065
HS,57.69215804112407,-6.984876914081662
HU,53.7691330539265,-0.3481273298670528
HX,53.712040831062346,-1.896639302485646
IG,51.59079609504248,0.07193973464938372
IP,52.22229367564026,1.0951500328232497
IV,57.52900030575743,-4.816501485652503
KA,55.595990330372636,-4.646662447118544
KT,51.35522596249744,-0.34404504243160744
KW,58.423443187771156,-3.4827297904205694
KY,56.173373335113844,-3.177598602260635
L,53.437817463648905,-2.9358473366788904
LA,54.214208283207654,-2.966141585285124
LD,52.19152886176197,-3.3706997488296677
LE,52.637239609630534,-1.141133399978703
LL,53.107808957895955,-3.9742007007229576
LN,53.26862745337134,-0.27527540424630464
LS,53.821743388647164,-1.545752002530825
LU,51.8958394563489,-0.4922995649592157
M,53.47658471585168,-2.2747502505782156
ME,51.33157211783793,0.5747780341348814
MK,52.056799229059706,-0.7039479246384085
ML,55.75773563973275,-3.9180942702068666
N,51.480822734763876,-0.11593518237117752
NE,55.05433649000627,-1.6854371729472692
NG,53.009763636330185,-1.0539535656819548
NN,52.291256354021066,-0.8273767034883855
NP,51.69582011035304,-3.0247034691567998
NR,52.674295501502826,1.275599954053027
NW,51.557256926641074,-0.19971194479739313
OL,53.57929382631263,-2.1178417955463082
OX,51.79021802226206,-1.2622025781047612
PA,56.09154369659419,-5.437344608997219
PE,52.69033134809332,0.04129092838370837
PH,56.788727110507786,-4.401008648043043
PL,50.45849100340178,-4.407734672951354
PO,50.781469733764844,-1.106031438263339
PR,53.724969440263166,-2.7438525198130326
RG,51.3861922903914,-1.046093561361599
RH,51.12430771266159,-0.192334999469293
RM,51.54606823412347,0.21933749303912184
S,53.38524243231179,-1.4168103657572864
SA,51.837659099997985,-4.342066713406301
SE,51.35907832232433,-0.03389420058938539
SG,51.94648161280044,-0.156898415639135
SK,53.37978872995263,-2.093990789327261
SL,51.520967860926184,-0.6344910353188619
SM,51.36222145748445,-0.18877615069076384
SN,51.51157183763544,-1.8801157736236034
SO,50.95308418118036,-1.3886092476314698
SP,51.09922761685953,-1.827715108896246
SR,54.88271962110319,-1.3915199392701296
SS,51.565599317802764,0.6050427941991838
ST,52.95347489810239,-2.1384914564774595
SW,51.4714031856273,-0.16592888453380414
SY,52.63251532177598,-3.145143987082186
TA,51.03238589058473,-3.0002131941740777
TD,55.66505962420991,-2.508719788098192
TF,52.6907558638701,-2.474477076995911
TN,51.066617411692185,0.4528556496635938
TQ,50.4337201949065,-3.644830676471813
TR,50.17015970800403,-5.433621143654692
TS,54.58933023211395,-1.2284593543176738
TW,51.44787573317863,-0.39537974498279704
UB,51.52625613742536,-0.42046045933664383
W,51.512166031969244,-0.1939838537070388
WA,53.391143820648566,-2.6009513029330837
WC,51.51825146911245,-0.1212412133379455
WD,51.66654151334262,-0.3933059344181654
WF,53.68737795164896,-1.5047137847609133
WN,53.533735586494096,-2.6434811308136448
WR,52.169157604819254,-2.1985399290816825
WS,52.6418443665027,-1.952322307621821
WV,52.282560082354344,-2.1739621327894962
YO,54.077320055688865,-0.856687128037855
ZE,60.11846066032327,-1.235148159454327
